Coordinates,:LABEL,nid:ID
"1262.954044933249,6547.463982905446,-797.9913332863425",IfcCartesianPoint,376
"-8809.701109867556,-4698.857596653512,-3102.361134766923",IfcCartesianPoint,377
"-8608.124220184485,-6382.513828673162,-3282.768276955321",IfcCartesianPoint,378
"1282.370589808283,6547.510673092053,-797.4530084138905",IfcCartesianPoint,379
"8844.475936377235,-1245.954609594514,-2293.459991248856",IfcCartesianPoint,380
"-1330.095478324487,9142.577547437413,-2871.458992887386",IfcCartesianPoint,381
"7308.187740682137,1510.033954314673,-801.7576951883148",IfcCartesianPoint,382
"8285.359193212415,539.5196891564632,-1481.97106428559",IfcCartesianPoint,383
"9480.015342375482,-1388.033278795605,-3374.226139247968",IfcCartesianPoint,384
"5672.837397551188,3648.182414812827,-441.5549781408336",IfcCartesianPoint,385
"8876.68359452486,411.6364290021134,-2157.562069504082",IfcCartesianPoint,386
"-6056.278763954398,-4541.556703210697,-1708.839606133986",IfcCartesianPoint,387
"-7430.371758211652,-4605.993871799029,-2214.335414655874",IfcCartesianPoint,388
"-7129.689749815467,-6317.261653448147,-2623.29495650219",IfcCartesianPoint,389
"1157.945232711441,8125.179491695522,-1636.07429285239",IfcCartesianPoint,390
"-7646.46231591462,-2936.95484917785,-2052.368529867627",IfcCartesianPoint,391
"-8961.151040567998,-2970.595069707157,-3096.437950110588",IfcCartesianPoint,392
"-8954.567983492565,-3063.161984967233,-3092.897822817208",IfcCartesianPoint,393
"1175.783826477305,8125.223529890885,-1636.345150493768",IfcCartesianPoint,394
"8276.374985821818,1344.551312230036,-1479.298956697363",IfcCartesianPoint,395
"-7656.281927805349,-2842.246518867997,-2048.62200312371",IfcCartesianPoint,396
"4077.435506812963,6101.565055908783,-775.2175022360061",IfcCartesianPoint,397
"-9047.398809573682,-1340.552316845334,-3216.833615741436",IfcCartesianPoint,398
"-1353.189129475744,-8037.344554286015,-3143.973303707682",IfcCartesianPoint,399
"-2504.349898051166,-8043.798198643155,-3126.41820872563",IfcCartesianPoint,400
"1138.315577665055,8543.351598130612,-2010.520299702088",IfcCartesianPoint,401
"1121.031678149438,8543.311736308588,-2010.001489662423",IfcCartesianPoint,402
"-4582.930447901875,-4492.821809144552,-1389.466511591995",IfcCartesianPoint,403
"-4301.531997460414,-6238.805619765392,-2005.981053786315",IfcCartesianPoint,404
"-2762.025655522823,-6214.63828609692,-1863.864698606541",IfcCartesianPoint,405
"8869.358075524731,1201.984421165334,-2158.741760489906",IfcCartesianPoint,406
