nid:ID,:LABEL
1735,IfcPolyLoop
1738,IfcPolyLoop
1741,IfcPolyLoop
1744,IfcPolyLoop
1747,IfcPolyLoop
1750,IfcPolyLoop
1753,IfcPolyLoop
1756,IfcPolyLoop
1759,IfcPolyLoop
1762,IfcPolyLoop
1765,IfcPolyLoop
1768,IfcPolyLoop
1771,IfcPolyLoop
1774,IfcPolyLoop
1777,IfcPolyLoop
1780,IfcPolyLoop
1783,IfcPolyLoop
1786,IfcPolyLoop
1789,IfcPolyLoop
1792,IfcPolyLoop
1795,IfcPolyLoop
1798,IfcPolyLoop
1801,IfcPolyLoop
1804,IfcPolyLoop
1807,IfcPolyLoop
1810,IfcPolyLoop
1813,IfcPolyLoop
1816,IfcPolyLoop
1819,IfcPolyLoop
1822,IfcPolyLoop
1825,IfcPolyLoop
1828,IfcPolyLoop
1831,IfcPolyLoop
1834,IfcPolyLoop
1837,IfcPolyLoop
1840,IfcPolyLoop
1843,IfcPolyLoop
1846,IfcPolyLoop
1849,IfcPolyLoop
1852,IfcPolyLoop
1855,IfcPolyLoop
1858,IfcPolyLoop
1861,IfcPolyLoop
1864,IfcPolyLoop
1867,IfcPolyLoop
1870,IfcPolyLoop
1873,IfcPolyLoop
1876,IfcPolyLoop
1879,IfcPolyLoop
1882,IfcPolyLoop
1885,IfcPolyLoop
1888,IfcPolyLoop
1891,IfcPolyLoop
1894,IfcPolyLoop
1897,IfcPolyLoop
1900,IfcPolyLoop
1903,IfcPolyLoop
1906,IfcPolyLoop
1909,IfcPolyLoop
1912,IfcPolyLoop
1915,IfcPolyLoop
1918,IfcPolyLoop
1921,IfcPolyLoop
1924,IfcPolyLoop
1927,IfcPolyLoop
1930,IfcPolyLoop
1933,IfcPolyLoop
1936,IfcPolyLoop
1939,IfcPolyLoop
1942,IfcPolyLoop
1945,IfcPolyLoop
1948,IfcPolyLoop
1951,IfcPolyLoop
1954,IfcPolyLoop
1957,IfcPolyLoop
1960,IfcPolyLoop
1963,IfcPolyLoop
1966,IfcPolyLoop
1969,IfcPolyLoop
1972,IfcPolyLoop
1975,IfcPolyLoop
1978,IfcPolyLoop
1981,IfcPolyLoop
1984,IfcPolyLoop
1987,IfcPolyLoop
1990,IfcPolyLoop
1993,IfcPolyLoop
1996,IfcPolyLoop
1999,IfcPolyLoop
2002,IfcPolyLoop
2005,IfcPolyLoop
2008,IfcPolyLoop
2011,IfcPolyLoop
2014,IfcPolyLoop
2017,IfcPolyLoop
2020,IfcPolyLoop
2023,IfcPolyLoop
2026,IfcPolyLoop
2029,IfcPolyLoop
2032,IfcPolyLoop
2035,IfcPolyLoop
2038,IfcPolyLoop
2041,IfcPolyLoop
2044,IfcPolyLoop
2047,IfcPolyLoop
2050,IfcPolyLoop
2053,IfcPolyLoop
2056,IfcPolyLoop
2059,IfcPolyLoop
2062,IfcPolyLoop
2065,IfcPolyLoop
2068,IfcPolyLoop
2071,IfcPolyLoop
2074,IfcPolyLoop
2077,IfcPolyLoop
2080,IfcPolyLoop
2083,IfcPolyLoop
2086,IfcPolyLoop
