Orientation,nid:ID,:LABEL
True,1547,IfcFaceOuterBound
True,1550,IfcFaceOuterBound
True,1553,IfcFaceOuterBound
True,1556,IfcFaceOuterBound
True,1559,IfcFaceOuterBound
True,1562,IfcFaceOuterBound
True,1565,IfcFaceOuterBound
True,1568,IfcFaceOuterBound
True,1571,IfcFaceOuterBound
True,1574,IfcFaceOuterBound
True,1577,IfcFaceOuterBound
True,1580,IfcFaceOuterBound
True,1583,IfcFaceOuterBound
True,1586,IfcFaceOuterBound
True,1589,IfcFaceOuterBound
True,1592,IfcFaceOuterBound
True,1595,IfcFaceOuterBound
True,1598,IfcFaceOuterBound
True,1601,IfcFaceOuterBound
True,1604,IfcFaceOuterBound
True,1607,IfcFaceOuterBound
True,1610,IfcFaceOuterBound
True,1613,IfcFaceOuterBound
True,1616,IfcFaceOuterBound
True,1619,IfcFaceOuterBound
True,1622,IfcFaceOuterBound
True,1625,IfcFaceOuterBound
True,1628,IfcFaceOuterBound
True,1631,IfcFaceOuterBound
True,1634,IfcFaceOuterBound
True,1637,IfcFaceOuterBound
True,1640,IfcFaceOuterBound
True,1643,IfcFaceOuterBound
True,1646,IfcFaceOuterBound
True,1649,IfcFaceOuterBound
True,1652,IfcFaceOuterBound
True,1655,IfcFaceOuterBound
True,1658,IfcFaceOuterBound
True,1661,IfcFaceOuterBound
True,1664,IfcFaceOuterBound
True,1667,IfcFaceOuterBound
True,1670,IfcFaceOuterBound
True,1673,IfcFaceOuterBound
True,1676,IfcFaceOuterBound
True,1679,IfcFaceOuterBound
True,1682,IfcFaceOuterBound
True,1685,IfcFaceOuterBound
True,1688,IfcFaceOuterBound
True,1691,IfcFaceOuterBound
True,1694,IfcFaceOuterBound
True,1697,IfcFaceOuterBound
True,1700,IfcFaceOuterBound
True,1703,IfcFaceOuterBound
True,1706,IfcFaceOuterBound
True,1709,IfcFaceOuterBound
True,1712,IfcFaceOuterBound
True,1715,IfcFaceOuterBound
True,1718,IfcFaceOuterBound
True,1721,IfcFaceOuterBound
True,1724,IfcFaceOuterBound
True,1727,IfcFaceOuterBound
True,1730,IfcFaceOuterBound
True,1733,IfcFaceOuterBound
True,1736,IfcFaceOuterBound
True,1739,IfcFaceOuterBound
True,1742,IfcFaceOuterBound
True,1745,IfcFaceOuterBound
True,1748,IfcFaceOuterBound
True,1751,IfcFaceOuterBound
True,1754,IfcFaceOuterBound
True,1757,IfcFaceOuterBound
True,1760,IfcFaceOuterBound
True,1763,IfcFaceOuterBound
True,1766,IfcFaceOuterBound
True,1769,IfcFaceOuterBound
True,1772,IfcFaceOuterBound
True,1775,IfcFaceOuterBound
True,1778,IfcFaceOuterBound
True,1781,IfcFaceOuterBound
True,1784,IfcFaceOuterBound
True,1787,IfcFaceOuterBound
True,1790,IfcFaceOuterBound
True,1793,IfcFaceOuterBound
True,1796,IfcFaceOuterBound
True,1799,IfcFaceOuterBound
True,1802,IfcFaceOuterBound
